# Explicitly installed packages — generated 2026-09-06 on 7.2.3-arch1-3
# Reinstall with:  pacman -S --needed - < <(awk '{print $1}' pkglist.txt | grep -v '^#')
#
# --- repo packages ---
7zip 26.03-1
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.7-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.7-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.5-1
xorg-xlsclients 1.1.6-1
xorg-xmodmap 1.0.12-1
xorg-xpr 1.2.1-1
xorg-xrdb 1.2.3-1
xorg-xrefresh 1.1.1-1
xorg-xsetroot 1.1.4-1
xorg-xvinfo 1.1.6-1
xorg-xwd 1.0.10-1
xorg-xwininfo 1.1.7-1
xorg-xwud 1.0.8-1
xournalpp 1.3.7-1
xsettingsd 1.0.4-1
yazi 26.9.1-2
zathura 2026.07.18-1
zathura-pdf-poppler 2026.07.18-1
zenity 4.2.2-1
zip 3.0-14
zoxide 0.10.0-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-2
#
# --- AUR / foreign packages ---
accounts-qml-module 0.7-8
accounts-qml-module-debug 0.7-8
bibata-cursor-theme 2.0.7-1
ctpv-git r264.4efa0f9-1
emote 4.1.0-10
kora-icon-theme 2.0.6-1
neofetch 7.1.0-2
oh-my-zsh-git r7437.69a6359f7-1
pacseek 1.8.6-1
paru-bin 2.1.0-1
pfetch 1.11.0-1
physlock 13-5
python-imageio-ffmpeg 0.6.0-2
python-pkg_resources 81.0.0-1
python-pywal 3.3.0-11
python-screeninfo 0.8.1-2
rofi-greenclip 4.2-3
sddm-sugar-candy-git 1.6r42.d31dbf5-1
simple-mtpfs 0.4.0-1
snapd 2.76.2-2
tdrop-git 0.5.0.r18.g63735e2-1
trizen 1:1.68-1
ttf-joypixels 11.0.0-1
ttf-maple 6.4-2
waybar-module-pacman-updates-git 0.2.9-1
waypaper 2.8-1
wlogout 1.2.2-0
xqp 0.1-2
yay-git 13.0.1.r2.g80192ab1-1
yay-git-debug 13.0.1.r2.g80192ab1-1
